n,k,p,soil,zone,crop
0.0,0.0,0.0,alluvial,western himalayan region,rice(k)
4.0,1.0,2.0,alluvial,western himalayan region,rice(k)
8.0,2.0,4.0,alluvial,western himalayan region,rice(k)
12.0,3.0,6.0,alluvial,western himalayan region,rice(k)
16.0,4.0,8.0,alluvial,western himalayan region,rice(k)
20.0,5.0,10.0,alluvial,western himalayan region,rice(k)
24.0,6.0,12.0,alluvial,western himalayan region,rice(k)
28.0,7.0,14.0,alluvial,western himalayan region,rice(k)
32.0,8.0,16.0,alluvial,western himalayan region,rice(k)
36.0,9.0,18.0,alluvial,western himalayan region,rice(k)
40.0,10.0,20.0,alluvial,western himalayan region,rice(k)
44.0,11.0,22.0,alluvial,western himalayan region,rice(k)
48.0,12.0,24.0,alluvial,western himalayan region,rice(k)
52.0,13.0,26.0,alluvial,western himalayan region,rice(k)
56.0,14.0,28.0,alluvial,western himalayan region,rice(k)
60.0,15.0,30.0,alluvial,western himalayan region,rice(k)
64.0,16.0,32.0,alluvial,western himalayan region,rice(k)
68.0,17.0,34.0,alluvial,western himalayan region,rice(k)
72.0,18.0,36.0,alluvial,western himalayan region,rice(k)
76.0,19.0,38.0,alluvial,western himalayan region,rice(k)
80.0,20.0,40.0,alluvial,western himalayan region,rice(k)
84.0,21.0,42.0,alluvial,western himalayan region,rice(k)
88.0,22.0,44.0,alluvial,western himalayan region,rice(k)
92.0,23.0,46.0,alluvial,western himalayan region,rice(k)
96.0,24.0,48.0,alluvial,western himalayan region,rice(k)
100.0,25.0,50.0,alluvial,western himalayan region,rice(k)
104.0,26.0,52.0,alluvial,western himalayan region,rice(k)
108.0,27.0,54.0,alluvial,western himalayan region,rice(k)
112.0,28.0,56.0,alluvial,western himalayan region,rice(k)
116.0,29.0,58.0,alluvial,western himalayan region,rice(k)
120.0,30.0,60.0,alluvial,western himalayan region,rice(k)
124.0,31.0,62.0,alluvial,western himalayan region,rice(k)
128.0,32.0,64.0,alluvial,western himalayan region,rice(k)
132.0,33.0,66.0,alluvial,western himalayan region,rice(k)
136.0,34.0,68.0,alluvial,western himalayan region,rice(k)
140.0,35.0,70.0,alluvial,western himalayan region,rice(k)
144.0,36.0,72.0,alluvial,western himalayan region,rice(k)
148.0,37.0,74.0,alluvial,western himalayan region,rice(k)
152.0,38.0,76.0,alluvial,western himalayan region,rice(k)
156.0,39.0,78.0,alluvial,western himalayan region,rice(k)
160.0,40.0,80.0,alluvial,western himalayan region,rice(k)
164.0,41.0,82.0,alluvial,western himalayan region,rice(k)
168.0,42.0,84.0,alluvial,western himalayan region,rice(k)
172.0,43.0,86.0,alluvial,western himalayan region,rice(k)
176.0,44.0,88.0,alluvial,western himalayan region,rice(k)
180.0,45.0,90.0,alluvial,western himalayan region,rice(k)
184.0,46.0,92.0,alluvial,western himalayan region,rice(k)
188.0,47.0,94.0,alluvial,western himalayan region,rice(k)
192.0,48.0,96.0,alluvial,western himalayan region,rice(k)
196.0,49.0,98.0,alluvial,western himalayan region,rice(k)
200.0,50.0,100.0,alluvial,western himalayan region,rice(k)
204.0,51.0,102.0,alluvial,western himalayan region,rice(k)
208.0,52.0,104.0,alluvial,western himalayan region,rice(k)
212.0,53.0,106.0,alluvial,western himalayan region,rice(k)
216.0,54.0,108.0,alluvial,western himalayan region,rice(k)
220.0,55.0,110.0,alluvial,western himalayan region,rice(k)
224.0,56.0,112.0,alluvial,western himalayan region,rice(k)
228.0,57.0,114.0,alluvial,western himalayan region,rice(k)
232.0,58.0,116.0,alluvial,western himalayan region,rice(k)
236.0,59.0,118.0,alluvial,western himalayan region,rice(k)
240.0,60.0,120.0,alluvial,western himalayan region,rice(k)
244.0,61.0,122.0,alluvial,western himalayan region,rice(k)
248.0,62.0,124.0,alluvial,western himalayan region,rice(k)
252.0,63.0,126.0,alluvial,western himalayan region,rice(k)
256.0,64.0,128.0,alluvial,western himalayan region,rice(k)
260.0,65.0,130.0,alluvial,western himalayan region,rice(k)
264.0,66.0,132.0,alluvial,western himalayan region,rice(k)
268.0,67.0,134.0,alluvial,western himalayan region,rice(k)
272.0,68.0,136.0,alluvial,western himalayan region,rice(k)
276.0,69.0,138.0,alluvial,western himalayan region,rice(k)
280.0,70.0,140.0,alluvial,western himalayan region,rice(k)
284.0,71.0,142.0,alluvial,western himalayan region,rice(k)
288.0,72.0,144.0,alluvial,western himalayan region,rice(k)
292.0,73.0,146.0,alluvial,western himalayan region,rice(k)
296.0,74.0,148.0,alluvial,western himalayan region,rice(k)
300.0,75.0,150.0,alluvial,western himalayan region,rice(k)
304.0,76.0,152.0,alluvial,western himalayan region,rice(k)
308.0,77.0,154.0,alluvial,western himalayan region,rice(k)
312.0,78.0,156.0,alluvial,western himalayan region,rice(k)
316.0,79.0,158.0,alluvial,western himalayan region,rice(k)
320.0,80.0,160.0,alluvial,western himalayan region,rice(k)
324.0,81.0,162.0,alluvial,western himalayan region,rice(k)
328.0,82.0,164.0,alluvial,western himalayan region,rice(k)
332.0,83.0,166.0,alluvial,western himalayan region,rice(k)
336.0,84.0,168.0,alluvial,western himalayan region,rice(k)
340.0,85.0,170.0,alluvial,western himalayan region,rice(k)
344.0,86.0,172.0,alluvial,western himalayan region,rice(k)
348.0,87.0,174.0,alluvial,western himalayan region,rice(k)
352.0,88.0,176.0,alluvial,western himalayan region,rice(k)
356.0,89.0,178.0,alluvial,western himalayan region,rice(k)
360.0,90.0,180.0,alluvial,western himalayan region,rice(k)
364.0,91.0,182.0,alluvial,western himalayan region,rice(k)
368.0,92.0,184.0,alluvial,western himalayan region,rice(k)
372.0,93.0,186.0,alluvial,western himalayan region,rice(k)
376.0,94.0,188.0,alluvial,western himalayan region,rice(k)
380.0,95.0,190.0,alluvial,western himalayan region,rice(k)
384.0,96.0,192.0,alluvial,western himalayan region,rice(k)
388.0,97.0,194.0,alluvial,western himalayan region,rice(k)
392.0,98.0,196.0,alluvial,western himalayan region,rice(k)
396.0,99.0,198.0,alluvial,western himalayan region,rice(k)
400.0,100.0,200.0,alluvial,western himalayan region,rice(k)
404.0,101.0,202.0,alluvial,western himalayan region,rice(k)
408.0,102.0,204.0,alluvial,western himalayan region,rice(k)
412.0,103.0,206.0,alluvial,western himalayan region,rice(k)
416.0,104.0,208.0,alluvial,western himalayan region,rice(k)
420.0,105.0,210.0,alluvial,western himalayan region,rice(k)
424.0,106.0,212.0,alluvial,western himalayan region,rice(k)
428.0,107.0,214.0,alluvial,western himalayan region,rice(k)
432.0,108.0,216.0,alluvial,western himalayan region,rice(k)
436.0,109.0,218.0,alluvial,western himalayan region,rice(k)
440.0,110.0,220.0,alluvial,western himalayan region,rice(k)
444.0,111.0,222.0,alluvial,western himalayan region,rice(k)
448.0,112.0,224.0,alluvial,western himalayan region,rice(k)
452.0,113.0,226.0,alluvial,western himalayan region,rice(k)
456.0,114.0,228.0,alluvial,western himalayan region,rice(k)
460.0,115.0,230.0,alluvial,western himalayan region,rice(k)
464.0,116.0,232.0,alluvial,western himalayan region,rice(k)
468.0,117.0,234.0,alluvial,western himalayan region,rice(k)
472.0,118.0,236.0,alluvial,western himalayan region,rice(k)
476.0,119.0,238.0,alluvial,western himalayan region,rice(k)
480.0,120.0,240.0,alluvial,western himalayan region,rice(k)
484.0,121.0,242.0,alluvial,western himalayan region,rice(k)
488.0,122.0,244.0,alluvial,western himalayan region,rice(k)
492.0,123.0,246.0,alluvial,western himalayan region,rice(k)
496.0,124.0,248.0,alluvial,western himalayan region,rice(k)
500.0,125.0,250.0,alluvial,western himalayan region,rice(k)
504.0,126.0,252.0,alluvial,western himalayan region,rice(k)
508.0,127.0,254.0,alluvial,western himalayan region,rice(k)
512.0,128.0,256.0,alluvial,western himalayan region,rice(k)
516.0,129.0,258.0,alluvial,western himalayan region,rice(k)
520.0,130.0,260.0,alluvial,western himalayan region,rice(k)
524.0,131.0,262.0,alluvial,western himalayan region,rice(k)
528.0,132.0,264.0,alluvial,western himalayan region,rice(k)
532.0,133.0,266.0,alluvial,western himalayan region,rice(k)
536.0,134.0,268.0,alluvial,western himalayan region,rice(k)
540.0,135.0,270.0,alluvial,western himalayan region,rice(k)
544.0,136.0,272.0,alluvial,western himalayan region,rice(k)
548.0,137.0,274.0,alluvial,western himalayan region,rice(k)
552.0,138.0,276.0,alluvial,western himalayan region,rice(k)
556.0,139.0,278.0,alluvial,western himalayan region,rice(k)
560.0,140.0,280.0,alluvial,western himalayan region,rice(k)
564.0,141.0,282.0,alluvial,western himalayan region,rice(k)
568.0,142.0,284.0,alluvial,western himalayan region,rice(k)
572.0,143.0,286.0,alluvial,western himalayan region,rice(k)
576.0,144.0,288.0,alluvial,western himalayan region,rice(k)
580.0,145.0,290.0,alluvial,western himalayan region,rice(k)
584.0,146.0,292.0,alluvial,western himalayan region,rice(k)
588.0,147.0,294.0,alluvial,western himalayan region,rice(k)
592.0,148.0,296.0,alluvial,western himalayan region,rice(k)
596.0,149.0,298.0,alluvial,western himalayan region,rice(k)
600.0,150.0,300.0,alluvial,western himalayan region,rice(k)
604.0,151.0,302.0,alluvial,western himalayan region,rice(k)
608.0,152.0,304.0,alluvial,western himalayan region,rice(k)
612.0,153.0,306.0,alluvial,western himalayan region,rice(k)
616.0,154.0,308.0,alluvial,western himalayan region,rice(k)
620.0,155.0,310.0,alluvial,western himalayan region,rice(k)
624.0,156.0,312.0,alluvial,western himalayan region,rice(k)
628.0,157.0,314.0,alluvial,western himalayan region,rice(k)
632.0,158.0,316.0,alluvial,western himalayan region,rice(k)
636.0,159.0,318.0,alluvial,western himalayan region,rice(k)
640.0,160.0,320.0,alluvial,western himalayan region,rice(k)
644.0,161.0,322.0,alluvial,western himalayan region,rice(k)
648.0,162.0,324.0,alluvial,western himalayan region,rice(k)
652.0,163.0,326.0,alluvial,western himalayan region,rice(k)
656.0,164.0,328.0,alluvial,western himalayan region,rice(k)
660.0,165.0,330.0,alluvial,western himalayan region,rice(k)
664.0,166.0,332.0,alluvial,western himalayan region,rice(k)
668.0,167.0,334.0,alluvial,western himalayan region,rice(k)
672.0,168.0,336.0,alluvial,western himalayan region,rice(k)
676.0,169.0,338.0,alluvial,western himalayan region,rice(k)
680.0,170.0,340.0,alluvial,western himalayan region,rice(k)
684.0,171.0,342.0,alluvial,western himalayan region,rice(k)
688.0,172.0,344.0,alluvial,western himalayan region,rice(k)
692.0,173.0,346.0,alluvial,western himalayan region,rice(k)
696.0,174.0,348.0,alluvial,western himalayan region,rice(k)
700.0,175.0,350.0,alluvial,western himalayan region,rice(k)
704.0,176.0,352.0,alluvial,western himalayan region,rice(k)
708.0,177.0,354.0,alluvial,western himalayan region,rice(k)
712.0,178.0,356.0,alluvial,western himalayan region,rice(k)
716.0,179.0,358.0,alluvial,western himalayan region,rice(k)
720.0,180.0,360.0,alluvial,western himalayan region,rice(k)
724.0,181.0,362.0,alluvial,western himalayan region,rice(k)
728.0,182.0,364.0,alluvial,western himalayan region,rice(k)
732.0,183.0,366.0,alluvial,western himalayan region,rice(k)
736.0,184.0,368.0,alluvial,western himalayan region,rice(k)
740.0,185.0,370.0,alluvial,western himalayan region,rice(k)
744.0,186.0,372.0,alluvial,western himalayan region,rice(k)
748.0,187.0,374.0,alluvial,western himalayan region,rice(k)
752.0,188.0,376.0,alluvial,western himalayan region,rice(k)
756.0,189.0,378.0,alluvial,western himalayan region,rice(k)
760.0,190.0,380.0,alluvial,western himalayan region,rice(k)
764.0,191.0,382.0,alluvial,western himalayan region,rice(k)
768.0,192.0,384.0,alluvial,western himalayan region,rice(k)
772.0,193.0,386.0,alluvial,western himalayan region,rice(k)
776.0,194.0,388.0,alluvial,western himalayan region,rice(k)
780.0,195.0,390.0,alluvial,western himalayan region,rice(k)
784.0,196.0,392.0,alluvial,western himalayan region,rice(k)
788.0,197.0,394.0,alluvial,western himalayan region,rice(k)
792.0,198.0,396.0,alluvial,western himalayan region,rice(k)
796.0,199.0,398.0,alluvial,western himalayan region,rice(k)
800.0,200.0,400.0,alluvial,western himalayan region,rice(k)
804.0,201.0,402.0,alluvial,western himalayan region,rice(k)
808.0,202.0,404.0,alluvial,western himalayan region,rice(k)
812.0,203.0,406.0,alluvial,western himalayan region,rice(k)
816.0,204.0,408.0,alluvial,western himalayan region,rice(k)
820.0,205.0,410.0,alluvial,western himalayan region,rice(k)
824.0,206.0,412.0,alluvial,western himalayan region,rice(k)
828.0,207.0,414.0,alluvial,western himalayan region,rice(k)
832.0,208.0,416.0,alluvial,western himalayan region,rice(k)
836.0,209.0,418.0,alluvial,western himalayan region,rice(k)
840.0,210.0,420.0,alluvial,western himalayan region,rice(k)
844.0,211.0,422.0,alluvial,western himalayan region,rice(k)
848.0,212.0,424.0,alluvial,western himalayan region,rice(k)
852.0,213.0,426.0,alluvial,western himalayan region,rice(k)
856.0,214.0,428.0,alluvial,western himalayan region,rice(k)
860.0,215.0,430.0,alluvial,western himalayan region,rice(k)
864.0,216.0,432.0,alluvial,western himalayan region,rice(k)
868.0,217.0,434.0,alluvial,western himalayan region,rice(k)
872.0,218.0,436.0,alluvial,western himalayan region,rice(k)
876.0,219.0,438.0,alluvial,western himalayan region,rice(k)
880.0,220.0,440.0,alluvial,western himalayan region,rice(k)
884.0,221.0,442.0,alluvial,western himalayan region,rice(k)
888.0,222.0,444.0,alluvial,western himalayan region,rice(k)
892.0,223.0,446.0,alluvial,western himalayan region,rice(k)
896.0,224.0,448.0,alluvial,western himalayan region,rice(k)
900.0,225.0,450.0,alluvial,western himalayan region,rice(k)
904.0,226.0,452.0,alluvial,western himalayan region,rice(k)
908.0,227.0,454.0,alluvial,western himalayan region,rice(k)
912.0,228.0,456.0,alluvial,western himalayan region,rice(k)
916.0,229.0,458.0,alluvial,western himalayan region,rice(k)
920.0,230.0,460.0,alluvial,western himalayan region,rice(k)
924.0,231.0,462.0,alluvial,western himalayan region,rice(k)
928.0,232.0,464.0,alluvial,western himalayan region,rice(k)
932.0,233.0,466.0,alluvial,western himalayan region,rice(k)
936.0,234.0,468.0,alluvial,western himalayan region,rice(k)
940.0,235.0,470.0,alluvial,western himalayan region,rice(k)
944.0,236.0,472.0,alluvial,western himalayan region,rice(k)
948.0,237.0,474.0,alluvial,western himalayan region,rice(k)
952.0,238.0,476.0,alluvial,western himalayan region,rice(k)
956.0,239.0,478.0,alluvial,western himalayan region,rice(k)
960.0,240.0,480.0,alluvial,western himalayan region,rice(k)
964.0,241.0,482.0,alluvial,western himalayan region,rice(k)
968.0,242.0,484.0,alluvial,western himalayan region,rice(k)
972.0,243.0,486.0,alluvial,western himalayan region,rice(k)
976.0,244.0,488.0,alluvial,western himalayan region,rice(k)
980.0,245.0,490.0,alluvial,western himalayan region,rice(k)
984.0,246.0,492.0,alluvial,western himalayan region,rice(k)
988.0,247.0,494.0,alluvial,western himalayan region,rice(k)
992.0,248.0,496.0,alluvial,western himalayan region,rice(k)
996.0,249.0,498.0,alluvial,western himalayan region,rice(k)
0.0,0.0,0.0,brown,western himalayan region,rice(k)
4.0,1.0,2.0,brown,western himalayan region,rice(k)
8.0,2.0,4.0,brown,western himalayan region,rice(k)
12.0,3.0,6.0,brown,western himalayan region,rice(k)
16.0,4.0,8.0,brown,western himalayan region,rice(k)
20.0,5.0,10.0,brown,western himalayan region,rice(k)
24.0,6.0,12.0,brown,western himalayan region,rice(k)
28.0,7.0,14.0,brown,western himalayan region,rice(k)
32.0,8.0,16.0,brown,western himalayan region,rice(k)
36.0,9.0,18.0,brown,western himalayan region,rice(k)
40.0,10.0,20.0,brown,western himalayan region,rice(k)
44.0,11.0,22.0,brown,western himalayan region,rice(k)
48.0,12.0,24.0,brown,western himalayan region,rice(k)
52.0,13.0,26.0,brown,western himalayan region,rice(k)
56.0,14.0,28.0,brown,western himalayan region,rice(k)
60.0,15.0,30.0,brown,western himalayan region,rice(k)
64.0,16.0,32.0,brown,western himalayan region,rice(k)
68.0,17.0,34.0,brown,western himalayan region,rice(k)
72.0,18.0,36.0,brown,western himalayan region,rice(k)
76.0,19.0,38.0,brown,western himalayan region,rice(k)
80.0,20.0,40.0,brown,western himalayan region,rice(k)
84.0,21.0,42.0,brown,western himalayan region,rice(k)
88.0,22.0,44.0,brown,western himalayan region,rice(k)
92.0,23.0,46.0,brown,western himalayan region,rice(k)
96.0,24.0,48.0,brown,western himalayan region,rice(k)
100.0,25.0,50.0,brown,western himalayan region,rice(k)
104.0,26.0,52.0,brown,western himalayan region,rice(k)
108.0,27.0,54.0,brown,western himalayan region,rice(k)
112.0,28.0,56.0,brown,western himalayan region,rice(k)
116.0,29.0,58.0,brown,western himalayan region,rice(k)
120.0,30.0,60.0,brown,western himalayan region,rice(k)
124.0,31.0,62.0,brown,western himalayan region,rice(k)
128.0,32.0,64.0,brown,western himalayan region,rice(k)
132.0,33.0,66.0,brown,western himalayan region,rice(k)
136.0,34.0,68.0,brown,western himalayan region,rice(k)
140.0,35.0,70.0,brown,western himalayan region,rice(k)
144.0,36.0,72.0,brown,western himalayan region,rice(k)
148.0,37.0,74.0,brown,western himalayan region,rice(k)
152.0,38.0,76.0,brown,western himalayan region,rice(k)
156.0,39.0,78.0,brown,western himalayan region,rice(k)
160.0,40.0,80.0,brown,western himalayan region,rice(k)
164.0,41.0,82.0,brown,western himalayan region,rice(k)
168.0,42.0,84.0,brown,western himalayan region,rice(k)
172.0,43.0,86.0,brown,western himalayan region,rice(k)
176.0,44.0,88.0,brown,western himalayan region,rice(k)
180.0,45.0,90.0,brown,western himalayan region,rice(k)
184.0,46.0,92.0,brown,western himalayan region,rice(k)
188.0,47.0,94.0,brown,western himalayan region,rice(k)
192.0,48.0,96.0,brown,western himalayan region,rice(k)
196.0,49.0,98.0,brown,western himalayan region,rice(k)
200.0,50.0,100.0,brown,western himalayan region,rice(k)
204.0,51.0,102.0,brown,western himalayan region,rice(k)
208.0,52.0,104.0,brown,western himalayan region,rice(k)
212.0,53.0,106.0,brown,western himalayan region,rice(k)
